Major,Minor / Specialization,Graduation Year,Prior Degrees,Employment - Title,Employment - Exp.,Employment - Title,Employment - Exp.,Employment - Title,Employment - Exp.,Skills - Computer,Skills - Language,Skills - Personal,Courses,Projects
Data Analytics,Mathematics,5/2018,,Loan Processor                                                                                                                              ,"Analyzed income and asset documentation to determine if members qualified for a mortgage; issued pre- approvals and denials accordingly; Served as the primary contact person for borrowers; assisted borrowers in selecting a mortgage product, answered questions throughout the loan process, and collected required documentation; Prepared pre-approval, underwriting, and closing documents in a timely manner, carefully complying with federal and secondary market guidelines; Updated the Policies and Procedural Manual to reflect new practices and trained two loan processors",Assistant to Mortgage Consultant                                                                                            ,"Assembled mortgage applications, systematized office files, and documented business expenses",,,"Intermediate Skills in Java, C++, Excel, & R; Proficient in Adobe InDesign;  Proficient in MS Word & PowerPoint",,,,
Economics,Finance,5/2016,"Bachelor, Computer Engineering",Photo Technician Specialist,"Controlling Machines and Processes - Using either control mechanisms or direct physical activity to operate machines or processes; Read instructions written on orders and examines contents of order to determine processing requirements size, type and other; Using computers and computer systems to program, write software, set up functions, enter data, and process information; Developing, designing, or creating new applications, ideas, relationships, systems, or products, including artistic contributions; Evaluating Information to Determine Compliance with Standards - Using relevant information and individual judgment to determine whether events or processes comply with laws, regulations, or standards",Receptionist,"Provided office support services in order to ensure efficiency and effectiveness within the Hamlet Office; Received, directed and relayed telephone messages and fax messages; Assisted in the planning and preparation of meetings, conferences and conference telephone calls;  Developed and maintained a current and accurate filing system; Greet, assist and directed students, visitors and the general public",,,"Microsoft Works, Microsoft Office, Open Office, Adobe Photoshop, Mat Lab, Dr. Java, HTML5, CSS",Strong multicultural background and Bilingual (Spanish and English),,,
Economics; Anthropology,,5/2016,,Cashier/gardener ,,Student Server ,,Research Assistant                                                                                                                                         ,,"Microsoft Office, Excel, Windows OS, PowerPoint",,,,
Economics,Entrepreneurship,5/2016,,Paid Intern,Hosted open houses for prospective buyers; Constructed graphic marketing tools and techniques using word press,Paid Intern,Interned in sales of insurance premiums; Assisted with personal and commercial customer service representation; Facilitated mergers with other companies in the industry,Paid Intern,Apprenticed in sales and distribution of computer supplies; Cold-Called and engaged potential consumers; Sold computer supplies to private and government consumers,"Microsoft Word, PowerPoint, and Excel function and presentation",Spanish – Intermediate Level ,,,
Political Science; Economics,,5/2016,,Europe Division Intern,"Collaborated with senior staff in organizing the biennial Transatlantic Think Tank Conference, with 75 delegates from 17 countries, including Congressmen and Parliamentarians; Managed and reviewed contracts valued at $3000 and up for IRI employees working in Europe",Student Trainee (Statistician),"Implemented data tools for easier comprehension and utility of Census of Governments data on government finances and organization; Acted as public point of contact for the Governments Division both within the Bureau and with data users including Congress, media, and researchers' Analyzed Central Collection Agreement between the Governments Division and the Kentucky state government and presented results to management stakeholders",,,"Proficient in Microsoft Office, Adobe InDesign, Processing design language; Experience with SAS, R, and JMP statistical software, Gretl econometric software","Conversational Spanish, elementary Italian; ",,,"Director of Finance and Administration, Residence Hall; Managed a budget of approximately $10,000 for an Ohio State dormitory;  Prepared hall finances for semi-annual audits; Successfully planned a dormitory-wide talent show with 100 audience members"
Economics,Business,12/2015,,"Intern, Commercial Lines Underwriting","Served as one of three team leaders, and one of four presenters, for the 2015 Grange internship capstone project presented to the Grange Executive Team, which focused on improving the current Grange process;  Evaluated property construction/condition to help determine premium amounts as well as terms of coverage, specifically for millennial’s; Conducted research on insured companies, for the most part restaurants, to confirm type of business, verifying premiums were equal to coverage; Sat in on commercial lines underwriting management meetings to better acclimate myself to corporate culture.",Tax Associate/Intern,"Prepare and file tax returns, both corporate and personal, as well as file extensions for clients; Executed administrative work including book keeping and managing monthly accounts payable updates for multiple clients; Conduct regular pick ups of various items for clients including Receipts, Bills, Bank Statements, and relevant legal documentation",Inventory Team,"Conduct inventory counts for restaurants within Ohio Union (Union Market, Sloopy’s, and Woody’s Bar and Grill);  Inventory reorganization as necessary to help with ease of access to the product for employees, as well as prevent miscounts due to misplacement of items; Assess variance in product sales over time to determine sufficient order quantities","Microsoft Excel, Word, Powerpoint, Outlook; QuickBooks; ProSeries; and Mainframe; as well as proficient Internet research skills",,,,
Actuarial Science,Economics,5/2018,,Crew Trainer                                                                         ,"Handled money, food preparation, and customer service; Trained new crew members in various stations; guest services; basic maintanence and clean up",,,,,"Access, Excel, PowerPoint, Word Programming: C++, Java",,,"Calculus, Micro Economics, Computer Science and Engineering",
Economics,,5/2016,,Grocery Store Clerk,"There I have held various positions that have taught me many useful skills. I started out bagging the groceries, then I was promoted to a cashier, next I was a grocery clerk stocking the shelves for the frozen and dairy departments, and now I am a Drug/General Merchandise clerk. I have learned counting, maintaining, and ordering inventory. When my supervisor goes on vacation I step up and take their place for the week, which has given me managing of the department experience",Summer Analytics Intern,Performed information synthesis using R on a business-critical sales force survey so that the team could begin to perform analytical strategies more rapidly; Performed a descriptive analysis of the survey data; in partnership with the rest of the Analytics Operation Excellence team; Participated in brainstorming sessions dealing with customer segmentation; Familiarized myself with many databases and its relevance to company and industry,Operator's Assistant,Assisted operator's in their day to day production tasks; Worked alongside many teams on various machines in a factory setting; Maintained machine quality and cleanliness; Trained part-time workers; Followed work orders and shipping instructions,"Proficient in programming: Java, Software: R, Excel, Word, PowerPoint, Familiarity in the workplace: SQL, Tableau",,,"Software I & II, Calculus I,II,III,  Statistical Inference for Data Analytics, Probability for Data Analytics, Foundations of Accounting, Corporate and Personal Finance, Intermediate Microeconomic Theory",Business Analytics Industry Cluster
Economics,,5/2016,,Administrative   assistant,Processed information requests; Managed mailings; Various other office duties upon request,Intern,Shadowed various attorneys; and other staff in the firm; Learned about a variety of law practices; namely oil & gas law; Sat in on a few trails; and learned courtroom proceedings,Instrument  room  staff,Assigned lockers and instruments to students; Distributed mail; Performed some maintenance on the instruments; Distributed and managed instruments,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
