Employment - Title,Job Description,Employment - Type,Major,Skills / Qualifications
Support Analyst,"Acumen Solutions is hiring a Support Analyst in the Cleveland/Akron, OH Area . This person will join our strong technology team responsible for the implementation and support of high volume, high performance client facing applications. This position would be based in our Cleveland, OH office. This person will support applications that are part of cloud based, mobile, and/or on premise environments. Great opportunity to be part of a new, growing office for an established company that provides cutting edge IT solutions to Fortune 500 and Public Sector clients. 

Specific Duties 
- Communicate project status with clients 
- Identify enhancement requests as configuration or development effort 
- Communicate requirements to developers to complete enhancement requests 
- Learn at least 2 client’s business processes and application implementation (implementation may be Salesforce.com or some other product) 
- Support end users questions and issues via various communication channels including email, phone, and portals 
- Determine root cause analysis of issues and help determine and implement solutions 
- Make configuration changes to the application 
- Create reports 
- Develop and execute functional test cases 
- Update project documentation 
- Application release management responsibilities",Career Employment – Graduating Students & Alumni,"Economics - Business, Information Systems, Logistics Management, Operations Management, General Business, Computer Science and Engineering, Electrical and Computer Engineering, Engineering Physics, Industrial and Systems Engineering, Data Analytics, Computer and Information Science","- 2+ years of experience in application support, business analyst, or project management type of role 
- Understanding of waterfall, agile, and iterative development methodologies 
- Strong written and verbal communication skills 
- Customer service skills 
- Work well in teams 
- Ability to learn new information quickly 
- Technical aptitude 
- Bachelor’s degree in Management Information Systems or related field 
- Authorized to work for any U.S. employer"
Actuarial Summer Intern,"Description: Work under the direction of an actuary to provide assistance and support for special project and regular departmental duties. Duties can include but are not limited to research, analysis, written and oral presentations, and other general assistance designed to help the department with spikes in workload while at the same time providing a good learning experience for the incumbent.",Internship,"Actuarial Science, Mathematics","Qualifications: Actuarial Science or related major, preferably having completed Sophomore year, with at least a 3.0 GPA. Must have strong analytical and communications skills, and evidence of a strong work ethic. Must be able to work full-time from roughly late May through mid-August. Successful completion of an SOA exam and/or prior actuarial internship experience preferred. A working knowledge of Excel or similar office tools is helpful."
Junior Data Scientist (ANL-0793503)," The IBM Data Science Studio in London’s mission is to design, build & help implement differentiated, advanced analytics solutions for IBM clients in a wide variety of industries. The Data Science Studio is a client collaboration hub to apply IBM advanced analytics solutions, and rapidly demonstrate value to our clients. The studio also serves as an intellectual hub for data science solutions – uniting clients, analytics Subject Matter Experts (SMEs), researchers, academics from the area and analytics experts from industry.

If you are engaged in Data Science, and looking to be part of an exciting new growth area, working with other highly qualified Data Science experts, solving a variety of client business problems across industries with advanced analytics, and comfortable with working in an evolving Agile based environment, then please apply. We are looking for top notch Junior Data Scientists to join our team. These Junior Data Scientists will be focused on specific advanced data science solutions, including Predictive Customer Intelligence, Supply Chain (including Demand Forecasting, Inventory Optimization, and Network Optimization), Risk and Fraud Analytics, and Predictive Asset Optimization. The candidate will possess logical thinking, data analysis skills, and modelling expertise in both IBM and non IBM Analytics tools will be applied to an array of complex business problems to provide insights into how clients’ businesses can gain positive results.

We are looking for graduates with Mathematics, Statistics, Operational Research, Science, Engineering or Economics background and prefer those with a relevant MSc or PhD.

Typical responsibilities include communicating with the client to understand their problems and goals, collecting data and analyzing it; specifying, building, using or implementing a model or presenting their analysis and recommendations to the client. Incumbents will have some knowledge of industry or business strategy/execution. May work with experts in a business area. Ranks analytics models and findings in order of their applicability to the business goals. Refines, analyses and structures relevant data. Able to use one or two analytics tools to design, develop and apply appropriate statistical and mathematical techniques to solve business problems. Familiar with a few Big Data tools. Creates visual presentations of analytics results. Under the guidance of a more experienced Data Scientist, works with target users to deploy analytics solution.

In addition to broad data and analytics skills, the data scientist must possess business acumen, coupled with the ability to communicate findings to both business and IT leaders in a way that can influence how an organization approaches a business challenge. Incumbents also advise on and select the business problems that have the most value for the organization.

Required

    Bachelor's Degree
    At least 2 years experience in one of the following fields: mathematics, statistics, physics, operations research, engineering, economics or finance.
    Basic knowledge in hands-on use of statistical packages (i.e. SPSS, SAS, R)
    Basic knowledge in identifying and defining requirements and turning functional requirements into a predictive or prescriptive analytics solution that addresses difficult business problems
    Readiness to travel 25% travel annually
    English: Fluent

Preferred

    Master's Degree
    At least 5 years experience in one of the following fields: mathematics, statistics, physics, operations research, engineering, economics or finance.",Career Employment – Graduating Students & Alumni,"Economics - Business, Finance, Logistics Management, Operations Management, Master of Business Logistics Engineering, Master of Business Operational Excellence, Computer Science and Engineering, Mechanical Engineering, Electrical and Computer Engineering, Engineering Physics, Industrial and Systems Engineering, Computer Science and Engineering, Electrical and Computer Engineering, Master of Business Logistics Engineering, Industrial and Systems Engineering, Mechanical Engineering, Data Analytics, Physics, Mathematics","Required

    Bachelor's Degree
    At least 2 years experience in one of the following fields: mathematics, statistics, physics, operations research, engineering, economics or finance.
    Basic knowledge in hands-on use of statistical packages (i.e. SPSS, SAS, R)
    Basic knowledge in identifying and defining requirements and turning functional requirements into a predictive or prescriptive analytics solution that addresses difficult business problems
    Readiness to travel 25% travel annually
    English: Fluent

Preferred

    Master's Degree
    At least 5 years experience in one of the following fields: mathematics, statistics, physics, operations research, engineering, economics or finance."
Aon Campus – Account Specialist I,"Company Overview: 
Aon plc (NYSE:AON) is the leading global provider of risk management, insurance and reinsurance brokerage, and human resources solutions and outsourcing services. Through its more than 66,000 colleagues worldwide, Aon unites to empower results for clients in over 120 countries via innovative and effective risk and people solutions and through industry-leading global resources and technical expertise. Aon has been named repeatedly as the world’s best broker, best insurance intermediary, best reinsurance intermediary, best captives manager, and best employee benefits consulting firm by multiple industry sources. Visit aon.com for more information on Aon and aon.com/manchesterunited to learn about Aon’s global partnership with Manchester United.

Aon Risk Solutions – Risk Management & Insurance Brokerage: 
Aon Risk Solutions, the global risk management business of Aon plc, is the worldwide leader in risk advice and insurance broking. Guided by the Aon Client Promise®, our teams help clients achieve profit, growth and continuity by delivering the best tailored and innovative risk solutions. We empower results through unmatched tools and capabilities, including the award-winning Aon Global Risk Insight Platform®.

Duties and Responsibilities:
As a member of the Launch: Aon's Early Career Development Program, colleagues will be assigned specific responsibilities and performance objectives with their manager(s).  Participants will also be required to complete their assigned formal development plan set forth by the program and the individual departments. Additionally, participants will be ambassadors of Aon by accomplishing the following:

• Discuss assignment specifications and performance with mentor and manager
• Complete assigned training curriculum
• Support Aon’s values at all times
• Represent the program in a professional manner 
• Develop awareness of policies and adapt behavior accordingly
• Approach all development opportunities with an open and positive mindset
• Maintain realistic expectations of the program
• Give and receive positive and constructive feedback
• Attend and contribute to regularly scheduled meetings and team building activities 

Position Summary:
Assists Account Executives on assigned accounts, managing key processes that serve clients and undertaking the client-facing and internal activities related to these processes. Account Specialists will also assist Brokers as necessary particularly on Commercial Risk business.

Roles and Responsibilities:
• Maintains effective and productive relationships with clients.
• When not performed within a broking unit, gathers and analyzes data on exposures, loss history and standard and unique coverage needs for submissions with the Brokerage Unit.  Performs submission assembly/creation where assigned.
• Manages client open items lists and responds to client ad-hoc requests.
• Gathers and analyzes data and drafts assigned elements of client service plans, stewardship reports and other convincing presentations tailored to the needs of the audience and the circumstances of the presentation.
• Actively supports and monitors the renewal process.  At the direction of the Broker, drafts quote comparisons and follows up for binders, policies and endorsements.
• Where applicable, serves as the primary interface with Aon Client Services (ACS), coordinating activities of the client service team and ACS to ensure that key processes assigned are performed effectively. 
• Receives and manages routine and complex coverage inquiries and endorsement requests.  Serves as key client liaison for items such as certificates, auto IDs, location additions, invoices, WC posting notices, allocations, premium finance agreements, summaries of insurance, and policy transmittals.  
• Understands and works in alignment with the Aon Leadership Model and its pillars of Client Value, Unmatched Teams, Innovation, Results and Values. 
• Ensures operational excellence, including adherence to service management requirements (e.g., Transparency & Disclosure, Aon Compliance requirements, Client Promise Methodology).  Monitors and follows-up on invoice generation, fee agreements, AVX input, GRIP and GAMS data, receivables and collections.  Addresses and resolves problems.
• Performs related duties as assigned.

Launch: Aon’s Early Career Program
Every year, Aon welcomes a class of talented college recruits to Launch, Aon's U.S. Early Career Program established to coach and develop future business leaders. Our campus hires ""launch"" their Aon careers in various full-time positions across the company. The supplemental 12 month development program starts in late summer with a three day kick-off orientation at our North America headquarters in Chicago. Through their work assignments, Launch participants are positioned to tackle real business challenges in a collaborative environment under the mentorship of senior leaders. The Launch training curriculum prepares participants for success as they explore growth opportunities throughout the organization. 

All positions require an applicant who has accepted an offer to undergo a background check. The checks run are based on the nature of the position. Background checks may include some or all of the following: SSN/SIN validation, education verification, employment verification, criminal check, search against global sanctions and government watch lists, fingerprint verification, credit check, and/or drug test. By applying for a position with Aon, you understand that you will be required to undergo a background check should you be made an offer. You also understand that the offer is contingent upon successful completion of the background check and results consistent with Aon’s employment policies. You will be notified during the hiring process which checks are required by the position.

Aon is committed to a diverse workforce and an Equal Opportunity/Affirmative Action employer (Minorities/Women/Veterans/Disabled)",Career Employment – Graduating Students & Alumni,"Undergraduate Majors, Actuarial Science, Data Analytics, Economics, Mathematics","•Candidates pursuing Bachelor Degrees with majors in Business, Finance, Economics, Risk Management, Insurance or a related degree.
• December 2015-June 2016 graduates only, for start date of June or July 2016.
• A minimum overall GPA of 3.0 strongly preferred. 
• Relevant work/ internship experience.
• Mature and professional demeanor.
• Involvement in extracurricular activities.
• Strong communication skills, both verbal and written. 
• Ability to cultivate relationships.
• Critical thinking, problem-solving and analytical skills.
• The ability to work as an integral part of a team, fostering teamwork and cultivating relationships, as well as work independently or with minimal direction.
• Strong PC skills including knowledge of Microsoft Office Suite."
"Intern-Gas Distribution (Business Analyst)-Clarksburg, WV","About Us

Dominion is one of the nation's largest producers and transporters of energy, with a portfolio of approximately 24,600 megawatts of generation, 12,400 miles of natural gas transmission, gathering and storage pipeline and 6,455 miles of electric transmission lines. Dominion operates one of the nation's largest natural gas storage systems with 949 billion cubic feet of storage capacity and serves utility and retail energy customers in 12 states.

Our company is built on a proud legacy (https://www.dom.com/corporate/about-us/history)of public service, innovation and community involvement. In addition to our core energy production, transportation and storage businesses, we invest in communities(https://www.dom.com/corporate/our-commitments/community) where we live and work and by practicing responsible environmental stewardship(https://www.dom.com/corporate/our-commitments/environment) wherever we operate.

 

Diversity is linked to every aspect of our business to include how we attract, develop and retain our future talent.  An inclusive environment encourages the coming together of different talents, thoughts and energies.  The company’s commitment to employing military veterans through the Troops to Energy Jobs program is one way we are able to ensure workforce diversity.

 

Additional Information

We offer excellent plans and programs for employees. Employees are rewarded with a competitive salary and comprehensive benefits package which may include: health benefits with coverage for families and domestic partners, vacation, retirement plans, paid holidays, tuition reimbursement, and much more. 

Dominion is an equal opportunity employer and is committed to a diverse workforce. Qualified applicants will receive consideration for employment without regard to their protected veteran or disabled status. 

You can experience the excitement of our company-it's the difference between taking a job and starting a career.

 

Export Control
Certain positions at Dominion may involve access to information and technology subject to export controls under U.S. law.  Compliance with these export controls may result in Dominion limiting its consideration of certain applicants.",Internship,"Economics - Business, Finance, Economics","Job Requirements

Hope Gas has a 2016 intern opportunity at the Clarksburg WV office.  The intern will provide assistance on various natural gas distribution projects and will perform analysis, calculations, write reports, conduct research and perform other tasks as assigned. Limited exercise of judgment will be required on details of work and in making preliminary selections and adaptations of alternatives. Individuals must have a desire to learn and produce as a part of a safety conscious, workplace.You must have an independent source of transportation for this summer internship. There are limited public transportation options in the area.

Previous business work experience(including intern or co-op)

Strong computer skills (Microsoft Office Products); ability to grasp new computer programs quickly. 

Candidates must be pursuing a degree in Business Administration, Finance or Economics with an anticipated graduation date of May 2018

Candidate must hold a cumulative GPA of 3.0

Valid drivers license required.

Apply Here:http://www.Click2Apply.net/mhxrdk65rc

PI91869275"
"Electrical Engineer (AST, Electrical Power Systems)","This work involves designing, developing, testing, and/or evaluating electrical power generation and management systems for aerospace applications such as space electric power and secondary power for aircraft. This position is concerned with professional engineering and physical science equipment development that advances the state of the art through systematic and creative application of scientific knowledge which produces new or substantially improved aerospace or aeronautical products and processes.

The work performed by the incumbent of this position contributes to NASA¿s discipline engineering for power management and distribution (PMAD) research, development, design, test, and evaluation for use in space, aeronautical, and terrestrial electric power systems applications.

To receive consideration, you must submit a resume and answer NASA-specific questions. The NASA questions appear after you submit your resume and are transferred to the NASA web site. If you successfully apply, USAJOBS will show your application status as 'Received'. If your status is 'Application Status Not Available', you have not successfully applied. Do not rely on a USAJOBS email to confirm successful application. Only an email from NASA confirms a successful application.

This is a bargaining unit position. As identical vacancies are identified, additional selections may be made from this announcement.

Selectee will be placed at the General Schedule (GS) 7, 9, or 11 grade level. Starting salary will be set at Step 1 for all grades based on the applicable pay table; GS-7 is set at $45,057, GS-9 is set at $55,116, and GS-11 is set at $60,880 

This position has full promotion potential to the GS-13.

This vacancy is being announced concurrently with the Merit Promotion announcement #GR15C0105.",Career Employment – Graduating Students & Alumni,"Health Information Management and Systems, Information Systems, Aeronautical and Astronautical Engineering, Computer Science and Engineering, Chemical Engineering, Mechanical Engineering, Materials Science and Engineering, Electrical and Computer Engineering, Engineering Physics, Industrial and Systems Engineering, Aeronautical and Astronautical Engineering, Computer Science and Engineering, Electrical and Computer Engineering, Industrial and Systems Engineering, Materials Science and Engineering, Mechanical Engineering, Nuclear Engineering, Mathematics, Computer and Information Science","KEY REQUIREMENTS
•A one-year probationary period may be required
•Applicants must meet all qualification requirements by appointment date
•Occasional travel may be required
•Position subject to pre-employment background investigation
•Selectee must complete a financial disclosure statement

*BASIC EDUCATION REQUIREMENT: A bachelor's degree from an accredited college or university with major study in engineering, physical science, mathematics, life sciences, computer science, or other field of science. Degrees in engineering technology are not considered to be qualifying for this position.

Required college majors for applicants qualifying on the basis of undergraduate or graduate education only: Aeronautical Engineering, Aeronautics, Aerospace Engineering, Astronautics, Chemistry, Applied Mechanics, Engineering Mechanics, Mechanical Engineering, Nuclear Engineering, Nuclear Engineering Physics, Physics, Applied Physics, Engineering Physics. Other majors will qualify if the major includes or is supplemented as follows: Electrical Engineering, Electronics Engineering, Applied Mathematics (or other field), if the major includes or is supplemented by one course in thermodynamics, nuclear physics, rocket propulsion fundamentals, gas dynamics or modem or molecular physics; Astronautical Engineering, Chemical Engineering, Pure Mathematics (or other related field), if includes or is supplemented by nine semester hours (or the equivalent) in physics, thermodynamics, chemistry or closely related fields."
"Aerospace Engineer (AST, Heat Transfer)","To receive consideration, you must submit a resume and answer NASA-specific questions. The NASA questions appear after you submit your resume and are transferred to the NASA web site. If you successfully apply, USAJOBS will show your application status as 'Received'. If your status is 'Application Status Not Available', you have not successfully applied. Do not rely on a USAJOBS email to confirm successful application. Only an email from NASA confirms a successful application.

This is a bargaining unit position.

As identical vacancies are identified, additional selections may be made from this announcement.

Selectee will be placed at a General Schedule (GS) 7, 9, or 11 grade level. Starting salary will be set at Step 1 for all grades based on the applicable pay table; GS-7 is set at $45,057, GS-9 is set at $55,116, and GS-11 is set at $60,880. This position has promotion potential to the GS-13.

Required college majors for applicants qualifying on the basis of undergraduate or graduate education only:

The primary role for this engineer at a journeyman level is for a thermal/fluids analyst. The incumbent will be responsible for solving application type problems for spacecraft and aerospace systems; including active and passive thermal control systems and their components (pumps, heat exchangers, radiators, etc.). The incumbent must also work effectively in a team environment.",Career Employment – Graduating Students & Alumni,"Health Information Management and Systems, Information Systems, Aeronautical and Astronautical Engineering, Computer Science and Engineering, Mechanical Engineering, Electrical and Computer Engineering, Engineering Physics, Industrial and Systems Engineering, Aviation, Aeronautical and Astronautical Engineering, Computer Science and Engineering, Electrical and Computer Engineering, Industrial and Systems Engineering, Mechanical Engineering, Nuclear Engineering, Mathematics, Computer and Information Science, Mathematical Sciences - MMS, Mathematics - MS & PhD","KEY REQUIREMENTS
•Occasional travel may be required
•A one-year probationary period may be required
•Position subject to pre-employment background investigation
•Applicants must meet all qualification requirements by appointment date

Aeronautical Engineering, Aeronautics, Aerospace Engineering, Astronautical Engineering, Astronautics, Astrophysics, Electrical Engineering (except power), Electronics Engineering, Applied Mechanics, Engineering Mechanics, Mechanical Engineering, Nuclear Engineering, Nuclear Engineering Physics, Physics, Applied Physics, Engineering Physics. Other appropriate physical or computer science, mathematics or engineering fields are qualifying if the major includes or is supplemented by at least 12 semester hours (or the equivalent) of appropriate physical science or engineering courses including nine semester hours (or the equivalent) of physics, thermodynamics, fluid dynamics or gas dynamics."
Computer Engineer,"Serves as the Center's IT Security Architect and Engineer assigned to the Risk Management and Security Office within the Office of the Chief Information Officer at NASA Glenn Research Center (GRC). Duties involve developing, implementing, maintaining and enhancing GRC's security architecture, utilizing a comprehensive understanding of: the threats and risks to information systems and data; security best practices and application of those practices in a research and engineering environment; and the technologies, tools, and processes for implementing confidentiality, availability, and integrity in order to facilitate mission and project success. These solutions must integrate with the Federal and Agency systems and the enterprise architecture as well as comply with relevant laws, policies, directives, and regulations. 

The position also serves as the Deputy Chief Information Security Officer (CISO) and assists in establishing and maintaining the enterprise vision, strategy and program to ensure information assets and technologies are adequately protected through the application of the National Institute of Standards and Technology's Risk Management Framework.

This vacancy is also being announced concurrently with vacancy announcement GR15C0109 under merit promotion procedures. Please review that announcement to see if you are eligible to apply under those procedures. NOTE: Applicants must apply separately for each announcement.

This is a bargaining unit position. As identical vacancies are identified, additional selections may be made from this announcement.

To receive consideration, you must submit a resume and answer NASA-specific questions. The NASA questions appear after you submit your resume and are transferred to the NASA web site. If you successfully apply, USAJOBS will show your application status as 'Received'. If your status is 'Application Status Not Available', you have not successfully applied. Do not rely on a USAJOBS email to confirm successful application. Only an email from NASA confirms a successful application.",Career Employment – Graduating Students & Alumni,"Information Systems, Computer Science and Engineering, Electrical and Computer Engineering, Engineering Physics, Industrial and Systems Engineering, Computer Science and Engineering, Electrical and Computer Engineering, Industrial and Systems Engineering, Data Analytics, Mathematics, Computer and Information Science, Mathematical Sciences - MMS, Mathematics - MS & PhD","KEY REQUIREMENTS
•A one-year probationary period may be required.
•Applicants must meet all qualification requirements by annoc. closing date.
•Position subject to pre-employment background investigation.
•Position subject to a pre-employment drug test.
•Successful completion of a security investigation will be required.

Required college majors for applicants qualifying on the basis of undergraduate or graduate education only:
Computer Engineering. 

Other majors will qualify if the major includes or is supplemented as follows: a. Computer Science and Pure Mathematics are fully qualifying for Data Analysis, Modeling and Theoretical Simulation Techniques positions without further course requirements. For Data Systems, Hardware Systems and Software Systems positions, Computer Science and Pure Mathematics are qualifying if the major includes or is supplemented by 12 semester hours (or the equivalent) in appropriate Physical Science or Engineering courses and includes or is supplemented by at least two courses shown under ""b.2."" b. Applied Mathematics is qualifying if includes or is supplemented by at least two of the following courses: 1. For Data Analysis, Modeling and Theoretical Simulation Techniques: numerical methods (or numerical analysis); linear algebra, theory of equations, differential equations, mathematical statistics (if six semester hour course), operating systems, theory of computation, computer networks, programming languages, data structures, data base management, computer graphics, compiler construction, computer architecture, software engineering. 2. For Data Systems, Hardware Systems and Software Systems: electronics, electrical networks, solid-state physics (for transistors, tapes, etc.), optics (for simulation), electricity and magnetism, computer organization, logic design, control systems, communication theory. c. Other appropriate physical science and engineering majors are qualifying if the major includes or is supplemented by six semester hours (or the equivalent) in Mathematics beyond Basic Calculus and includes or is supplemented by at least two courses shown above under ""b."""
Technology Leadership Development Program - New Grad,"Where good people build rewarding careers.Think that working in the insurance field can’t be exciting, rewarding and challenging? Think again. You’ll help us reinvent protection and retirement to improve customers’ lives. We’ll help you make an impact with our training and mentoring offerings. Here, you’ll have the opportunity to expand and apply your skills in ways you never thought possible. And you’ll have fun doing it. Join a company of individuals with hopes, plans and passions, all using and developing our talents for good, at work and in life.
Job Description
Be innovative. Be a leader. Most importantly – be your driven, tech-savvy, awesome self. Allstate is a company that’s transforming – and we need charismatic, inventive professionals for our Technology Leadership Development Program – technical leaders who can help drive decisions as we evolve into the future. Are you up to the challenge? The Program: Defined.
The Allstate Technology Leadership Development Program (TLDP) is designed to build versatile leaders by providing cross-functional experience through three rotations in different areas of the organization. Two rotations take place in Allstate Technology and Strategic Ventures and one rotation aligns to a specific business area outside of ATSV (Claims, Sales, Marketing, Product Operations, etc). This approach not only exposes participants to our technology operations but also builds business acumen – knowledge that is imperative for successful leadership at Allstate. TLDP participants get involved in meaningful, high-exposure assignments during their rotations. Current and previous assignment examples include:Rolling out an innovative technology product
Ensuring efficient e-commerce interactions from allstate.com
Working on systems that make it easier to do business with our agents
Anticipating and delivering innovative, cost-effective solutions for our internal business clients

 The Opportunity: Unlike Any Other.
Our program is unique in that each candidate acquires valuable experience in three different areas of the company. By seeing the organization from three perspectives, participants build stronger networks and have a better understanding of how the company functions as a whole. This program sets participants up for success by giving them this rare experience to help accelerate their career at Allstate. Participants will have the opportunity to jump-start their career through the following opportunities:Three 1-year structured rotations in different areas of the business (two rotations in technology, one rotation outside of technology)
Assignments that involve people management, project management, client-facing work, operations, strategy, and change management
A week-long orientation to introduce the program and allow participants to connect with each other before beginning their rotations
Two formal learning conferences each year with experiential learning opportunities and exposure to key leaders
Formal mentoring relationships with experienced Allstate Leaders as well as a peer mentor during the first year of the program
Opportunities to get to know our nonprofit partners and to volunteer within and outside of Allstate


The Details: When, Where, How
The program begins July 2016
Participants are offered a highly competitive starting salary of $75,000
Rotation locations vary: many will be in Northbrook, IL (a northern suburb of Chicago) but each participant will also have a rotation in one of our regional offices (many across the country)

 Ready to apply? Visit our Interns & New Grads page at jobs.allstate.comQuestions? Email us at campus@allstate.com

Good Work. Good Life. Good Hands®. As a Fortune 100 company and industry leader, we provide a competitive salary – but that’s just the beginning. Our Total Rewards package also offers benefits like tuition assistance, medical and dental insurance, as well as a robust pension and 401(k). Plus, you’ll have access to a wide variety of programs to help you balance your work and personal life -- including a generous paid time off policy.Learn more about life at Allstate. Connect with us on Twitter, Facebook, Instagram and LinkedIn or watch a video.

Allstate generally does not sponsor individuals for employment-based visas for this position.
Effective July 1, 2014, under Indiana House Enrolled Act (HEA) 1242, it is against public policy of the State of Indiana and a discriminatory practice for an employer to discriminate against a prospective employee on the basis of status as a veteran by refusing to employ an applicant on the basis that they are a veteran of the armed forces of the United States, a member of the Indiana National Guard or a member of a reserve component. 

For jobs in San Francisco, please see the notice regarding the San Francisco Fair Chance Ordinance. 

It is the policy of Allstate to employ the best qualified individuals available for all jobs without regard to race, color, religion, sex, age, national origin, sexual orientation, gender identity/gender expression, disability, and citizenship status as a veteran with a disability or veteran of the Vietnam Era.",Career Employment – Graduating Students & Alumni,"Health Information Management and Systems, Information Systems, Computer Science and Engineering, Electrical and Computer Engineering, Engineering Physics, Industrial and Systems Engineering, Data Analytics, Mathematics, Computer and Information Science","Job Qualifications
The Participants: Best of the Best. 
Our TLDP participants are naturals when it comes to leadership. They have an innate ability to engage and motivate others, the desire to continuously learn and share ideas, and a fiery passion for personal development. Here are a few of our program requirements:Bachelor’s Degree in Engineering/Computer Science, Math/Computer Science, or Statistics/Computer Science/Management Information Systems (Spring 2016 graduates)
Cumulative GPA of at least 3.3
Leadership experience through extra-curricular activities, community involvement, or in the workplace
Applicants must be currently authorized to work in the United States on a full-time basis
A willingness to relocate for one of the three rotational assignments
Strong interpersonal, organizational, and multi-tasking skills These are the traits we value most in our TLDP participants:
Track record of success
A fresh perspective and out of the box thinking
Ability to identify issues, risks and opportunities
Willingness to challenge the status quo
Desire to grow through challenging work
Strong interpersonal, verbal and written communication skills"
Technical Support Analyst,"Job Description
The role of a Technical Support Analyst is to assist in the support of the Fidessa applications.  This is a great opportunity to get in on the ground floor with respect to technology and business side. 
The Technical Support Analyst role at Fidessa is a highly technical one, working in a fast-paced and dynamic environment. Members of the team will provide hands-on support in a production environment, and will be challenged to use their technical knowledge and out-of-the-box thinking to solve complex problems. Ideal candidates will need to demonstrate their technical skillset and must have a desire to work in the financial industry, with a focus on equities and futures & options asset classes.",Career Employment – Graduating Students & Alumni,"Health Information Management and Systems, Information Systems, Computer Science and Engineering, Electrical and Computer Engineering, Engineering Physics, Industrial and Systems Engineering, Computer Science and Engineering, Electrical and Computer Engineering, Data Analytics, Computer and Information Science","Qualifications
•	Bachelor’s degree in Computer Science, Computer Engineering or related relevant field  
•	Familiarity with UNIX, C++, JAVA
•	Excellent problem solving skills
•	Strong communication skills - written and verbal
•	Candidates must have excellent interpersonal skills, be flexible, enthusiastic, and have a good aptitude for software applications 
•	Applicants should possess an ability to understand code and localize specific points of failure in code 
•	Candidate must be comfortable in a fast-paced, team-based environment with a high degree of individual autonomy
•	Be comfortable in a fast-paced, team-based environment 
•	The ability to work on a flexible work schedule"
Product Intern,"Nationwide, based in Columbus, Ohio, is one of the largest and strongest diversified insurance and financial services organizations in the U.S. and is rated A+ by A.M. Best. The company provides a full range of personalized insurance and financial services, including auto insurance, motorcycle, boat, homeowners, life insurance, farm, commercial insurance, administrative services, annuities, mortgages, mutual funds, pensions and long-term savings plans. For more information, visit www.nationwide.com.

The product intern will work with the Product Team (Personal or Commercial). The candidate will work in both a team and independent atmosphere to formulate conclusions, analyze data, and develop recommendations to support the Product Managers on the team. The intern must possess quantitative skills and be able to multi-task on several projects. The internship will be held over the summer month for approximately a 10 to 12 week period. 
Reporting Relationships: Reports to: Supervisor and Mentor. The Mentor relationship will help the candidate get involved and provide support to the individual as needed.   
Core Job Duties and Responsibilities: 
1.	Evaluate competitors’ products to identify key concepts to research and share findings. 
2.	Track competitor rate changes and market share. 
3.	Pull data at the request of Product Managers or other individuals within Nationwide.
4.	Demonstrate the willingness to be engaged and try new things. 
5.	Participate in department and company meetings. 
6.	Complete training related to insurance as well as computer applications that the applicant will be working with. 
7.	Answer questions about products, coverages, or discounts from agents and others associated with Nationwide. 
8.	Complete a project with other interns at Nationwide and present in front of senior leadership at the end of the summer 
9.	Perform other duties as assigned.",Internship,"Consumer and Family Financial Services, Accounting, Economics - Business, Finance, Economics, Mathematics","The product intern will work with the Product Team (Personal or Commercial). The candidate will work in both a team and independent atmosphere to formulate conclusions, analyze data, and develop recommendations to support the Product Managers on the team. The intern must possess quantitative skills and be able to multi-task on several projects. The internship will be held over the summer month for approximately a 10 to 12 week period. 
Reporting Relationships: Reports to: Supervisor and Mentor. The Mentor relationship will help the candidate get involved and provide support to the individual as needed.   
Core Job Duties and Responsibilities: 
1.	Evaluate competitors’ products to identify key concepts to research and share findings. 
2.	Track competitor rate changes and market share. 
3.	Pull data at the request of Product Managers or other individuals within Nationwide.
4.	Demonstrate the willingness to be engaged and try new things. 
5.	Participate in department and company meetings. 
6.	Complete training related to insurance as well as computer applications that the applicant will be working with. 
7.	Answer questions about products, coverages, or discounts from agents and others associated with Nationwide. 
8.	Complete a project with other interns at Nationwide and present in front of senior leadership at the end of the summer 
9.	Perform other duties as assigned."
